# Taille Temps_Total Temps_GPU Temps_Transfert
256 0.003370 0.002107 0.001117
512 0.004223 0.002429 0.001376
1024 0.006711 0.004781 0.000335
2048 0.014007 0.008792 0.001656
4096 0.060800 0.042329 0.005235
8192 0.256516 0.188327 0.023287
16384 0.950926 0.675686 0.090665
32768 3.822974 2.767882 0.354099
