# Taille Temps_Total Temps_GPU Temps_Transfert
256 0.003290 0.001971 0.001174
512 0.004389 0.002604 0.001271
1024 0.006610 0.004762 0.000331
2048 0.014167 0.009129 0.001302
4096 0.059964 0.042609 0.005532
8192 0.258051 0.192295 0.023748
16384 0.965097 0.705405 0.090518
32768 3.836847 2.779357 0.363198
