# Taille Temps_Total Temps_GPU Temps_Transfert
256 0.020536 0.019216 0.001216
512 0.022237 0.020376 0.001385
1024 0.037763 0.035917 0.000332
2048 0.078436 0.073368 0.001526
4096 0.450194 0.433008 0.005482
8192 1.980723 1.917704 0.023358
16384 7.797945 7.535856 0.090103
32768 29.170096 28.129699 0.362238
