# Nb_Vertices Nb_Edges Temps_Total Temps_GPU Temps_Transfert
100 4950 0.003071 0.001839 0.001231
500 124750 0.010512 0.009169 0.001343
1000 499500 0.024623 0.023025 0.001598
5000 12497500 3.097964 3.088420 0.009544
10000 49995000 32.333379 32.303822 0.029557
15000 112492500 111.936493 111.862736 0.073756
