# Taille Temps_Total Temps_GPU Temps_Transfert
256 0.001516 0.000238 0.001278
512 0.002794 0.000975 0.001819
1024 0.008351 0.006546 0.001805
2048 0.048812 0.038441 0.010371
4096 0.357343 0.334025 0.023318
8192 4.518156 4.448736 0.069420
16384 35.805912 35.535754 0.270158
