# Taille Temps_Total Temps_GPU Temps_Transfert
256 0.001458 0.000147 0.001311
512 0.002454 0.000714 0.001739
1024 0.008362 0.006455 0.001907
2048 0.053753 0.040451 0.013301
4096 0.352668 0.328619 0.024048
8192 5.014478 4.942752 0.071725
16384 35.734409 35.452820 0.281589
